Date;Injection RTE;Injection ELD;Production télérelevée à courbe de charge;Production profilée à index;Refoulement  ;Soutirage ELD  ;Consommation HTA  - Segments C1+C2+C3;Consommation BT > 36 - Segment C4;Consommation BT < 36 - Segment C5;Consommation BT < 36 - Segment C5 Profil Professionnel;Consommation BT < 36 - Segment C5 Profil Résidentiel;Pertes bouclantes normalisées;Date photo des données
2025-09;19811903.641;49281.801;5802701.129489333;330134.97732537496;2407757.431;181683.313;8357268.567113874;3081731.405584702;10549385.5538716;2502183.182528878;8047202.371342722;1416195.2798921734;2025-12-10 08:02:25
2023-01;34348043.173;70556.153;7744131.901522659;55188.12268830861;2899750.93;370736.008;9201959.02478606;4356015.438651929;22304908.66816675;4068315.8293866725;18236592.838780075;3084549.2775838375;2025-08-10 08:06:55
2023-03;27924732.568;67584.829;8275953.495961866;177599.55121480144;3259156.383;293939.167;8956575.235367253;3845945.4283708287;17642750.93015605;3460408.63349527;14182342.296660779;2447503.305419536;2025-08-10 08:06:55
2024-07;20691814.863;38020.765;4982743.996695667;385544.5514082928;1577993.461;181329.4;8901771.592164185;3340438.686684431;10719635.36692426;2604252.272904441;8115383.094019819;1376955.6648697692;2025-10-11 08:05:59
2024-09;19974284.04;51875.633;5649953.329774084;253594.51464165587;2426962.854;184903.813;8207619.121511272;3024304.9815075016;10639615.740046568;2488753.840611341;8150861.899435227;1446301.0087792336;2025-10-11 08:05:59
2025-10;22986643.948;62188.112;6727541.286757667;252713.47333341005;3000407.127;220420.386;8664771.369054971;3316642.1872712127;13008397.841098478;2864417.0602640845;10143980.780834394;1818447.9120096623;2025-12-10 08:02:25
2022-03;30020379.449;44945.121;5639730.601689;377652.384806657;1721018.064;313890.942;9481456.249852752;4063898.2090865932;18094569.04965204;3651129.5785238533;14443439.471128186;2407875.0409602434;2025-08-27 15:28:29
2023-02;30024948.702;47642.174;5719192.5472572;128551.73024138248;1630264.587;322094.863;8338806.672719596;3810094.365424102;19259701.625969287;3532858.1040303316;15726843.521938957;2559373.039885839;2025-08-10 08:06:55
2023-04;23738142.881;54709.598;5891026.446678545;236689.27426678804;2255560.295;242805.181;8103921.357911771;3271984.1639701813;14136005.081618937;2866947.7374749538;11269057.344143981;1910292.124619131;2025-08-10 08:06:55
2023-07;20512846.454;47746.262;5592579.419416667;309243.06223658915;2125566.849;189826.921;8726556.519895762;3330150.078846975;10721100.39430734;2589894.5993224992;8131205.79498484;1369214.446468747;2025-08-10 08:06:55
2025-01;36276982.034;76588.119;7276719.69020575;95594.79940921017;2735665.838;375469.144;9254100.877495812;4496123.667356396;23613775.788901534;4221881.062679921;19391894.72622161;3250749.322364012;2025-12-10 08:02:25
2025-03;27589285.047;54598.678;6951181.960233;300394.6170653846;2243085.216;288234.989;8738239.283452477;3752135.290492872;17505764.145960607;3371564.4690332636;14134199.676927343;2368001.3696911605;2025-12-10 08:02:25
2025-06;19819138.442;42552.703;5587180.430495917;495252.3141739514;1914318.025;171008.41;8650712.57492163;3320070.67154383;10538851.21783396;2539523.1076491973;7999328.1101847645;1349162.988658725;2025-12-10 08:02:25
2022-06;21433607.863;34621.823;3772848.1530886665;609490.6487836161;1226210.242;194102.401;9044234.656047255;3405911.793980227;10666543.148511482;2631072.4478337863;8035470.700677696;1313566.2442365065;2025-08-27 15:28:29
2023-10;21839619.748;53511.02;5602309.559916667;176335.91729430773;2487786.59;207235.242;8539839.219310835;3167938.685640446;11665225.628453972;2706978.8266752507;8958246.80177872;1603750.8844032576;2025-08-10 08:06:55
2023-12;31415961.157;80494.306;8249086.651259666;67374.29291803647;3428072.56;328595.204;8398760.54068338;4047933.8981857826;20755035.11124416;3839575.9548827726;16915459.156361386;2854519.0906910035;2025-08-10 08:06:55
2024-02;27470199.044;66819.33;7483996.768533916;109321.45726377472;2833278.698;290771.742;8441685.160300989;3668249.773437913;17449286.38427192;3381358.144304007;14067928.239967912;2447064.8419035054;2025-10-11 08:05:59
2025-05;19163453.04;51005.812;6347123.591834583;485836.6147919068;2500945.276;177558.978;7986883.976799444;3023591.1815690007;10909804.268075727;2481863.5896808947;8427940.678394832;1448635.3767095967;2025-12-10 08:02:25
2025-11;27599335.995;62127.603;6588963.952985417;134643.55014222828;2348365.206;280957.283;8455176.780555949;3687393.0122341886;17270410.919302553;3330505.1324172216;13939905.78688533;2342767.8980923584;2025-12-10 08:02:25
2022-05;21492952.089;42792.817;4337559.872108;643265.2327125127;1531176.993;200198.662;8837828.350353481;3337938.1699747522;11204354.450215595;2667288.248545237;8537066.20167036;1405073.3822189297;2025-08-27 15:28:29
2025-08;19260413.657;37354.698;5456957.333576667;449981.56008678017;1908086.342;176279.918;7932896.278168576;3188707.577863261;10666202.523683721;2522454.46986478;8143748.053818941;1332534.608123826;2025-12-10 08:02:25
2022-01;38995056.906;48002.425;5557667.108420167;185860.43753429217;1415065.792;416141.458;9833862.91565695;4790273.784365444;24973050.772290815;4544535.763795185;20428515.008495633;3358192.1589645916;2025-08-27 15:28:29
2022-02;30149260.761;57208.757;7269497.8543985;258481.9529867409;2677400.629;333540.203;8769313.046918152;3987944.9784788503;19377916.36504339;3709264.89263101;15668651.47241238;2588334.1054160357;2025-08-27 15:28:29
2022-12;34028014.877;62401.667;6454732.266746733;140442.84905645502;2207842.024;358000.622;8735725.188709227;4284744.215935942;22150125.7980016;4045790.85589027;18104334.94211133;2949153.8179776026;2025-08-27 15:28:29
2023-05;19964074.045;58377.511;6114016.965;295123.74775657564;2447680.821;192744.163;8086478.160550717;3018755.228820039;11194587.377279056;2507068.0590662844;8687519.318212772;1491346.515498363;2025-08-10 08:06:55
2023-06;19933482.493;41283.01;4766106.0425845;309554.34256321646;1600346.064;179323.579;8662548.176191315;3222227.3105164967;10107124.173478354;2463813.6301388647;7643310.543339489;1278856.5812125423;2025-08-10 08:06:55
2023-08;19903924.373;38283.302;4997939.177666667;282051.98951843905;1904537.255;182536.494;8006969.423957023;3149289.7240267475;10633975.581561973;2513334.361991286;8120641.219570688;1344890.3593816885;2025-08-10 08:06:55
2024-03;26680747.281;58144.832;7174179.186862334;221439.01520259742;2522611.682;274392.627;8641569.365687903;3652699.0925231315;16746282.413763253;3295971.5294387047;13450310.884324549;2296955.128798623;2025-10-11 08:05:59
2024-04;23007760.145;58168.526;6480069.474953166;296204.4476843241;2674426.177;230305.925;8229293.60914994;3257485.290486811;13577737.934684988;2835812.13674162;10741925.797943367;1872953.6555693718;2025-10-11 08:05:59
2025-04;21340649.484;53784.954;6053237.279490333;406958.4022612943;2295936.856;210140.932;8143149.632260442;3133950.1684030467;12385788.737361392;2697018.6319224774;9688770.105438916;1685663.7965216204;2025-12-10 08:02:25
